Province,Ratio,ECP,TTS,tts2,PGDP,pdgp2,Government,Trade,Hc,year,lng,lat
甘肃,0.052206307,0.009264025,411.83,0.41183,15421,1.5421,0.372386338,0.127074297,7.291109899,2010,103.73,36.03
广东,0.132694204,0.01573536,4175.38,4.17538,44669,4.4669,0.11800168,1.156469816,8.8717086,2010,113.23,23.16
广西,0.057130716,0.011367225,793.31,0.79331,18070,1.807,0.234739956,0.140409153,8.09566654,2010,108.33,22.84
贵州,0.052750052,0.01203745,496.97,0.49697,12882,1.2882,0.361026776,0.047139344,7.081504702,2010,106.71,26.57
海南,0.041685022,0.008610086,214.76,0.21476,23323,2.3323,0.287720861,0.289762643,8.436929224,2010,110.35,20.02
河北,0.06068094,0.012124711,1293.51,1.29351,25308,2.5308,0.15664867,0.158150411,8.42493789,2010,114.48,38.03
河南,0.043177668,0.006518558,1383.65,1.38365,23984,2.3984,0.150789671,0.053282028,8.38743469,2010,113.65,34.76
黑龙江,0.092621749,0.012173913,697.87,0.69787,21694,2.1694,0.271207106,0.207896443,8.745699717,2010,126.63,45.75
湖北,0.096883835,0.008818342,983.32,0.98332,28359,2.8359,0.15415144,0.108182967,8.488682313,2010,114.31,30.52
湖南,0.055540739,0.011271505,1008.94,1.00894,24005,2.4005,0.173521763,0.063705227,8.465346161,2010,113,28.21
吉林,0.08014928,0.019431988,587.4,0.5874,23370,2.337,0.278800406,0.177885437,8.902767036,2010,125.35,43.88
江苏,0.052893089,0.011390416,2140.42,2.14042,52787,5.2787,0.118743279,0.761945117,8.546052325,2010,118.78,32.04
江西,0.048611279,0.011096167,655.15,0.65515,21099,2.1099,0.204968454,0.15597133,8.522894132,2010,115.89,28.68
辽宁,0.102491956,0.013510905,1113.22,1.11322,31888,3.1888,0.229976325,0.393184435,9.237281721,2010,123.38,41.8
内蒙古,0.037878788,0.01565008,584.75,0.58475,33262,3.3262,0.277259479,0.072069149,8.494596188,2010,111.65,40.82
宁夏,0.040898424,0.010118044,131.1,0.1311,24984,2.4984,0.354730547,0.084419072,8.216604367,2010,106.27,38.47
青海,0.033592586,0.015209125,111.07,0.11107,20418,2.0418,0.649711589,0.046677779,7.447928086,2010,101.74,36.56
山东,0.050263722,0.006902322,1855.86,1.85586,35599,3.5599,0.122191171,0.377476164,8.312774827,2010,117,36.65
山西,0.103434525,0.010395538,696.69,0.69669,25434,2.5434,0.21691169,0.095615129,8.876429568,2010,112.53,37.87
陕西,0.037577992,0.019462719,819.82,0.81982,26388,2.6388,0.225371755,0.083210427,8.584544566,2010,108.95,34.27
上海,0.12448049,0.017052685,1098.79,1.09879,79396,7.9396,0.184360383,1.394114247,10.64690722,2010,121.48,31.22
四川,0.09555968,0.011041009,1380.7,1.3807,21230,2.123,0.247200548,0.128489801,7.693972767,2010,104.06,30.67
天津,0.147952534,0.010695187,399.46,0.39946,54053,5.4053,0.201563506,0.813632793,10.05154946,2010,117.2,39.13
西藏,0.127797409,0.018018018,14.22,0.01422,17209,1.7209,1.074361474,0.110348129,4.547789474,2010,91.11,29.97
新疆,0.059586247,0.007058824,537.32,0.53732,24700,2.47,0.316948994,0.216339464,8.658009403,2010,87.68,43.77
云南,0.075112698,0.010842627,754.13,0.75413,16866,1.6866,0.295492095,0.117532865,6.905297591,2010,102.73,25.04
浙江,0.065926245,0.012675419,1947.77,1.94777,51110,5.111,0.11707634,0.626390189,8.404337651,2010,120.19,30.26
重庆,0.086961177,0.010885886,550.58,0.55058,28084,2.8084,0.211900363,0.104304958,7.934099358,2010,106.54,29.59
安徽,0.096201073,0.014986376,707.27,0.70727,38983,3.8983,0.219838279,0.164460058,8.79598478,2015,117.27,31.86
北京,0.306500956,0.087482311,923.36,0.92336,114662,11.4662,0.231554011,1.056035658,12.08065081,2015,116.46,39.92
福建,0.121033395,0.013572613,860.61,0.86061,70162,7.0162,0.149204124,0.515719985,8.871031372,2015,119.3,26.08
甘肃,0.058206251,0.010313216,349.29,0.34929,25264,2.5264,0.451195742,0.099351081,8.444929845,2015,103.73,36.03
广东,0.138202515,0.01812115,3150.03,3.15003,69283,6.9283,0.17164978,1.120796052,9.496065143,2015,113.23,23.16
广西,0.096870153,0.010853478,607.89,0.60789,30990,3.099,0.274737461,0.282824767,8.682659751,2015,108.33,22.84
贵州,0.070300679,0.010731707,481.39,0.48139,29956,2.9956,0.373731145,0.094975989,7.780725521,2015,106.71,26.57
海南,0.097009388,0.014940239,171.31,0.17131,41164,4.1164,0.331913127,0.306392767,9.198571063,2015,110.35,20.02
河北,0.101298271,0.013673089,866.46,0.86646,35653,3.5653,0.213353461,0.159852555,9.041525695,2015,114.48,38.03
河南,0.093550676,0.009237055,1164.37,1.16437,39209,3.9209,0.183349468,0.162977726,8.826430626,2015,113.65,34.76
黑龙江,0.123797359,0.017070358,459.29,0.45929,30583,3.0583,0.34394012,0.147240615,9.37522303,2015,126.63,45.75
湖北,0.116320502,0.016144883,828.34,0.82834,52015,5.2015,0.202110467,0.122974252,9.332529711,2015,114.31,30.52
湖南,0.092552445,0.012433086,802.51,0.80251,42216,4.2216,0.200735845,0.084107687,9.302856745,2015,113,28.21
吉林,0.086736689,0.020301446,351.13,0.35113,36391,3.6391,0.321131962,0.154360068,9.392890627,2015,125.35,43.88
江苏,0.10038093,0.018233361,1800.47,1.80047,89426,8.9426,0.135954777,0.62718561,9.490086425,2015,118.78,32.04
江西,0.070236427,0.013943809,550.37,0.55037,36850,3.685,0.262950736,0.206976286,8.871760628,2015,115.89,28.68
辽宁,0.116271908,0.021507115,729.4,0.7294,46069,4.6069,0.221748811,0.388895793,9.839947856,2015,123.38,41.8
内蒙古,0.07327203,0.016761649,377.07,0.37707,51633,5.1633,0.328439262,0.08053886,9.365079451,2015,111.65,40.82
宁夏,0.066915406,0.010943912,123.23,0.12323,38805,3.8805,0.44137784,0.118751862,8.888126776,2015,106.27,38.47
青海,0.077298851,0.012759171,101.65,0.10165,34322,3.4322,0.753436101,0.078799673,7.513753296,2015,101.74,36.56
山东,0.082355816,0.014069702,1269.06,1.26906,56312,5.6312,0.149216659,0.356489361,9.033652695,2015,117,36.65
山西,0.088486701,0.012491483,472.8,0.4728,32375,3.2375,0.289190125,0.101606002,9.634121543,2015,112.53,37.87
陕西,0.067947199,0.01992966,699.49,0.69949,47301,4.7301,0.244489016,0.139581757,9.546047313,2015,108.95,34.27
上海,0.186916026,0.039861896,778.76,0.77876,111081,11.1081,0.230280805,1.368708012,10.9506736,2015,121.48,31.22
四川,0.162305176,0.0230044,1159.02,1.15902,37129,3.7129,0.247100059,0.138198315,8.446952946,2015,104.06,30.67
天津,0.249840444,0.014925373,261,0.261,71021,7.1021,0.297104646,0.860490314,10.56386177,2015,117.2,39.13
西藏,0.071202237,0.01497006,53.79,0.05379,32517,3.2517,1.324506232,0.071772722,5.332933897,2015,91.11,29.97
新疆,0.095715252,0.009142497,382.55,0.38255,39959,3.9959,0.408822487,0.1731251,9.09426796,2015,87.68,43.77
云南,0.09278039,0.01181577,757.28,0.75728,31642,3.1642,0.315028743,0.134107761,8.045441021,2015,102.73,25.04
浙江,0.140422397,0.015783644,1613.54,1.61354,78768,7.8768,0.15275411,0.652930186,8.976950514,2015,120.19,30.26
重庆,0.103208106,0.011308951,493.55,0.49355,53398,5.3398,0.236401608,0.380293666,8.941353363,2015,106.54,29.59
